id,EDANid,imageURL,thumbnail
01444,edanmdm:npg_S_NPG.2002.184.906,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_906,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_906/full/250,/0/default.jpg"
01445,edanmdm:npg_S_NPG.2002.184.905,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_905,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_905/full/250,/0/default.jpg"
01446,edanmdm:npg_S_NPG.2002.184.904,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_904,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_904/full/250,/0/default.jpg"
01447,edanmdm:npg_S_NPG.2002.184.903,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_903,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_903/full/250,/0/default.jpg"
01448,edanmdm:npg_S_NPG.2002.184.902,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_902,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_902/full/250,/0/default.jpg"
01449,edanmdm:npg_S_NPG.2002.184.901,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_901,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_901/full/250,/0/default.jpg"
01450,edanmdm:npg_S_NPG.2002.184.900,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_900,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_900/full/250,/0/default.jpg"
01451,edanmdm:npg_S_NPG.2002.184.90,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_90,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_90/full/250,/0/default.jpg"
01452,edanmdm:npg_S_NPG.2002.184.9,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_9,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_9/full/250,/0/default.jpg"
01453,edanmdm:npg_S_NPG.2002.184.899,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_899,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_899/full/250,/0/default.jpg"
